survived,age,siblings_spouses,parents_children,fare,sex_male,sex_female,alone_no,alone_yes,class_1,class_2,class_3
0,26.0,0,0,13.0,1,0,0,1,0,1,0
0,57.0,0,0,10.5,0,1,0,1,0,1,0
0,29.8811345124283,0,0,7.2292,1,0,0,1,0,0,1
0,41.0,0,0,7.125,1,0,0,1,0,0,1
1,60.0,0,0,76.2917,0,1,0,1,1,0,0
0,21.0,0,0,7.25,1,0,0,1,0,0,1
0,64.0,1,0,75.25,1,0,1,0,1,0,0
0,50.0,1,1,211.5,1,0,1,0,1,0,0
1,33.0,1,0,53.1,0,1,1,0,1,0,0
1,39.0,1,1,79.65,0,1,1,0,1,0,0
1,22.0,0,0,7.225,1,0,0,1,0,0,1
1,29.0,0,0,13.8583,1,0,0,1,0,1,0
0,32.5,0,0,9.5,1,0,0,1,0,0,1
1,50.0,0,0,10.5,0,1,0,1,0,1,0
0,28.0,0,0,22.525,1,0,0,1,0,0,1
1,29.8811345124283,0,0,79.2,0,1,0,1,1,0,0
1,22.0,1,2,41.5792,0,1,1,0,0,1,0
0,25.0,0,0,7.925,1,0,0,1,0,0,1
0,2.0,4,2,31.275,0,1,1,0,0,0,1
0,70.0,0,0,10.5,1,0,0,1,0,1,0
0,29.8811345124283,0,0,7.8958,1,0,0,1,0,0,1
0,29.8811345124283,0,0,7.775,1,0,0,1,0,0,1
0,26.0,1,2,20.575,1,0,1,0,0,0,1
1,11.0,1,2,120.0,1,0,1,0,1,0,0
1,62.0,0,0,10.5,1,0,0,1,0,1,0
1,22.0,1,0,13.9,0,1,1,0,0,0,1
0,27.0,1,0,26.0,1,0,1,0,0,1,0
0,19.0,0,0,10.1708,1,0,0,1,0,0,1
1,30.0,0,0,164.8667,0,1,0,1,1,0,0
1,29.8811345124283,0,0,7.75,0,1,0,1,0,0,1
1,30.0,0,0,12.7375,1,0,0,1,0,1,0
1,29.8811345124283,0,0,13.0,1,0,0,1,0,1,0
0,40.0,1,5,31.3875,1,0,1,0,0,0,1
1,18.0,1,0,53.1,0,1,1,0,1,0,0
1,47.0,1,0,61.175,0,1,1,0,1,0,0
1,29.8811345124283,0,0,31.6833,0,1,0,1,1,0,0
1,29.0,0,0,7.75,1,0,0,1,0,0,1
1,29.8811345124283,0,0,7.2292,1,0,0,1,0,0,1
0,58.0,0,0,29.7,1,0,0,1,1,0,0
0,29.8811345124283,8,2,69.55,1,0,1,0,0,0,1
0,31.0,0,0,7.775,1,0,0,1,0,0,1
0,29.8811345124283,0,0,7.55,1,0,0,1,0,0,1
1,29.8811345124283,0,0,30.5,1,0,0,1,1,0,0
0,24.0,0,0,8.05,1,0,0,1,0,0,1
0,9.0,1,1,15.2458,0,1,1,0,0,0,1
0,26.0,0,0,7.8958,1,0,0,1,0,0,1
0,30.5,0,0,8.05,1,0,0,1,0,0,1
1,55.0,0,0,135.6333,0,1,0,1,1,0,0
0,17.0,2,0,8.05,1,0,1,0,0,0,1
0,47.0,0,0,38.5,1,0,0,1,1,0,0
0,31.0,0,0,50.4958,1,0,0,1,1,0,0
1,53.0,0,0,27.4458,0,1,0,1,1,0,0
1,17.0,0,0,12.0,0,1,0,1,0,1,0
0,36.0,0,0,9.5,1,0,0,1,0,0,1
0,29.8811345124283,0,0,7.55,1,0,0,1,0,0,1
0,55.0,0,0,30.5,1,0,0,1,1,0,0
0,27.0,0,0,7.8958,1,0,0,1,0,0,1
0,23.0,2,1,11.5,1,0,1,0,0,1,0
0,29.8811345124283,0,0,7.2292,1,0,0,1,0,0,1
0,19.0,0,0,10.5,1,0,0,1,0,1,0
0,18.0,0,0,6.75,0,1,0,1,0,0,1
0,35.0,0,0,8.05,1,0,0,1,0,0,1
1,28.0,0,0,35.5,1,0,0,1,1,0,0
0,39.0,0,0,24.15,1,0,0,1,0,0,1
0,36.0,0,0,7.8958,1,0,0,1,0,0,1
1,39.0,1,1,83.1583,0,1,1,0,1,0,0
1,22.0,1,1,12.2875,0,1,1,0,0,0,1
0,25.0,0,0,7.05,1,0,0,1,0,0,1
1,16.0,0,0,7.7333,0,1,0,1,0,0,1
0,29.8811345124283,0,0,21.0,0,1,0,1,0,1,0
0,29.0,0,0,7.925,1,0,0,1,0,0,1
1,29.8811345124283,0,0,29.7,1,0,0,1,1,0,0
0,19.0,0,0,7.65,1,0,0,1,0,0,1
1,29.8811345124283,0,0,7.7875,0,1,0,1,0,0,1
0,22.0,0,0,10.5167,0,1,0,1,0,0,1
1,29.8811345124283,0,0,56.4958,1,0,0,1,0,0,1
1,28.0,0,0,26.55,1,0,0,1,1,0,0
1,27.0,0,1,12.475,0,1,1,0,0,0,1
0,59.0,0,0,13.5,1,0,0,1,0,1,0
1,32.5,0,0,13.0,0,1,0,1,0,1,0
1,22.0,0,1,61.9792,0,1,1,0,1,0,0
0,16.0,0,0,7.775,1,0,0,1,0,0,1
0,29.8811345124283,0,0,7.8958,1,0,0,1,0,0,1
0,22.0,0,0,7.8958,1,0,0,1,0,0,1
1,23.0,0,1,63.3583,1,0,1,0,1,0,0
1,36.0,0,3,39.0,0,1,1,0,0,1,0
1,51.0,0,0,26.55,1,0,0,1,1,0,0
0,38.0,4,2,7.775,0,1,1,0,0,0,1
0,23.0,0,0,7.925,0,1,0,1,0,0,1
1,18.0,1,0,60.0,0,1,1,0,1,0,0
1,58.0,0,0,146.5208,0,1,0,1,1,0,0
0,29.8811345124283,8,2,69.55,0,1,1,0,0,0,1
0,4.0,4,2,31.275,1,0,1,0,0,0,1
0,30.0,0,0,7.225,1,0,0,1,0,0,1
1,26.0,0,0,56.4958,1,0,0,1,0,0,1
1,45.0,0,0,26.55,1,0,0,1,1,0,0
0,64.0,1,4,263.0,1,0,1,0,1,0,0
1,26.0,1,1,22.025,0,1,1,0,0,0,1
1,56.0,0,1,83.1583,0,1,1,0,1,0,0
0,18.0,0,0,73.5,1,0,0,1,0,1,0
1,42.0,0,0,227.525,0,1,0,1,1,0,0
1,29.8811345124283,0,0,7.225,0,1,0,1,0,0,1
0,29.8811345124283,0,0,0.0,1,0,0,1,0,1,0
0,31.0,0,0,7.7333,1,0,0,1,0,0,1
0,29.8811345124283,0,0,7.75,1,0,0,1,0,0,1
1,0.6667,1,1,14.5,1,0,1,0,0,1,0
1,14.0,1,0,11.2417,0,1,1,0,0,0,1
0,28.0,0,0,9.5,1,0,0,1,0,0,1
1,24.0,0,0,7.75,0,1,0,1,0,0,1
1,42.0,0,0,13.0,0,1,0,1,0,1,0
1,40.0,0,0,31.0,1,0,0,1,1,0,0
1,29.8811345124283,0,0,7.7792,0,1,0,1,0,0,1
0,26.0,0,0,7.775,1,0,0,1,0,0,1
0,21.0,0,0,7.8542,1,0,0,1,0,0,1
0,29.8811345124283,0,0,0.0,1,0,0,1,0,1,0
0,29.8811345124283,0,0,8.05,1,0,0,1,0,0,1
1,29.0,0,2,23.0,0,1,1,0,0,1,0
0,36.0,0,0,0.0,1,0,0,1,0,0,1
0,29.8811345124283,0,0,8.05,1,0,0,1,0,0,1
0,45.5,0,0,7.225,1,0,0,1,0,0,1
1,39.0,0,0,108.9,0,1,0,1,1,0,0
0,29.8811345124283,1,0,15.5,1,0,1,0,0,0,1
1,8.0,0,2,26.25,0,1,1,0,0,1,0
1,22.0,1,1,29.0,0,1,1,0,0,1,0
0,29.8811345124283,0,0,7.8958,1,0,0,1,0,0,1
0,29.0,0,0,7.925,0,1,0,1,0,0,1
1,19.0,0,0,8.05,1,0,0,1,0,0,1
0,31.0,1,1,37.0042,1,0,1,0,0,1,0
1,25.0,0,0,0.0,1,0,0,1,0,0,1
0,44.0,0,0,13.0,1,0,0,1,0,1,0
1,30.0,1,0,57.75,1,0,1,0,1,0,0
